"c_name","source","r_id","r_year","r_month","r_swt","r_female","p_ideology","p_interest","p_economy","d_essential","core_values","c_govern","i_trust"
"Algeria","ArabBarometer",49,"2020","August",0.291843053397584,"Not Female",NA,"At least once daily","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",50,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",51,"2020","August",0.671180029087426,"Female",NA,"Throughout the day","Bad",NA,NA,NA,"Quite a lot of trust"
"Algeria","ArabBarometer",52,"2020","August",2.23050538275248,"Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",53,"2020","August",0.463921320858204,"Not Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",54,"2020","August",0.590751978841505,"Female",NA,"Throughout the day","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",55,"2020","August",0.969870188788705,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,NA
"Algeria","ArabBarometer",56,"2020","August",0.735444248800327,"Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",57,"2020","August",0.969870188788705,"Not Female",NA,"Throughout the day","Very Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",58,"2020","August",0.192395581538354,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",59,"2020","August",2.23050538275248,"Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",60,"2020","August",0.969870188788705,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",61,"2020","August",2.047084673278,"Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",62,"2020","August",0.969870188788705,"Not Female",NA,"I do not use the Internet","Very Good",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",65,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",67,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",68,"2020","August",1.26317275670839,"Female",NA,"At least once daily","Very Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",69,"2020","August",0.615987014054932,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",70,"2020","August",0.969870188788705,"Not Female",NA,"Several times a week","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",71,"2020","August",4,"Not Female",NA,"I do not use the Internet","Very Good",NA,NA,NA,"A great deal of trust"
"Algeria","ArabBarometer",74,"2020","August",0.462347315082174,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",75,"2020","August",1.71259288579145,"Not Female",NA,"At least once daily","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",77,"2020","August",0.671180029087426,"Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",78,"2020","August",0.198194727300648,"Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",79,"2020","August",0.382008115733521,"Not Female",NA,"I do not use the Internet","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",80,"2020","August",3.18677593214521,"Female",NA,"Throughout the day","Bad",NA,NA,NA,"No trust at all"
"Algeria","ArabBarometer",81,"2020","August",0.0672667359095071,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",83,"2020","August",0.128135154264546,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",86,"2020","August",0.969870188788705,"Not Female",NA,"I do not use the Internet","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",87,"2020","August",1.5717615725914,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",89,"2020","August",0.202977951248554,"Not Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",90,"2020","August",0.268284479365789,"Not Female",NA,"Throughout the day","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",91,"2020","August",0.465438565652671,"Female",NA,"Throughout the day","Very Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",92,"2020","August",0.832738193631882,"Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",93,"2020","August",0.112151669308625,"Not Female",NA,"I do not use the Internet","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",94,"2020","August",0.802406357050192,"Not Female",NA,"At least once daily","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",95,"2020","August",0.0296043074627269,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",NA,"2020","August",1.71259288579145,"Not Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",101,"2020","August",0.283717637637771,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",102,"2020","August",1.05211115577607,"Not Female",NA,"Once a week","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",104,"2020","August",0.958930823198865,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",105,"2020","August",1.50222786235554,"Not Female",NA,"Once a week","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",106,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",107,"2020","August",1.71259288579145,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",108,"2020","August",0.821304848272157,"Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",109,"2020","August",0.242622199625838,"Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",110,"2020","August",0.300639723221461,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",111,"2020","August",1.37015827773083,"Not Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",112,"2020","August",0.291843053397584,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",113,"2020","August",0.969870188788705,"Not Female",NA,"I do not use the Internet","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",114,"2020","August",1.40666633532231,"Not Female",NA,"Throughout the day","Very Bad",NA,NA,NA,"A great deal of trust"
"Algeria","ArabBarometer",115,"2020","August",0.291843053397584,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",116,"2020","August",0.674548397179732,"Not Female",NA,"Several times a week","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",117,"2020","August",0.536976931488751,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",118,"2020","August",0.832738193631882,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",119,"2020","August",0.821869550713037,"Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",120,"2020","August",0.674548397179732,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",121,"2020","August",0.283717637637771,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",122,"2020","August",0.246222694656918,"Not Female",NA,"At least once daily","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",123,"2020","August",0.249781446889099,"Not Female",NA,"Once a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",124,"2020","August",2.23050538275248,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",125,"2020","August",0.202977951248554,"Not Female",NA,"Less than once a week","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",126,"2020","August",0.999103805020003,"Female",NA,"At least once daily","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"A great deal of trust"
"Algeria","ArabBarometer",127,"2020","August",0.261188341521296,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",128,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"No trust at all"
"Algeria","ArabBarometer",129,"2020","August",0.0751615844933064,"Not Female",NA,"Throughout the day","Good",NA,NA,NA,"A great deal of trust"
"Algeria","ArabBarometer",134,"2020","August",0.0751615844933064,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",136,"2020","August",0.0978915188655877,"Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",137,"2020","August",0.251836295992955,"Not Female",NA,"I do not use the Internet","Bad",NA,NA,NA,"Not a lot of trust"
"Algeria","ArabBarometer",138,"2020","August",0.969870188788705,"Not Female",NA,"Once a week","Good",NA,NA,NA,"A great deal of trust"
"Algeria","ArabBarometer",140,"2020","August",0.533961642078319,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",141,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",142,"2020","August",0.627164199738026,"Not Female",NA,"I do not use the Internet","Good",NA,NA,NA,"A great deal of trust"
"Algeria","ArabBarometer",143,"2020","August",0.818261899917969,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",144,"2020","August",0.382460830257213,"Female",NA,"Throughout the day","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",145,"2020","August",0.230832642304599,"Not Female",NA,"Several times a week","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",146,"2020","August",4,"Not Female",NA,"I do not use the Internet","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",147,"2020","August",0.600680388375526,"Female",NA,"Several times a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",148,"2020","August",4,"Not Female",NA,"I do not use the Internet","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",149,"2020","August",4,"Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",150,"2020","August",0.767116762808684,"Not Female",NA,"I do not use the Internet","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",151,"2020","August",0.151934018183971,"Not Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",152,"2020","August",0.619078391797858,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",154,"2020","August",0.172186667707212,"Not Female",NA,"I do not use the Internet","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",155,"2020","August",2.22066895804259,"Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",156,"2020","August",0.260386741066822,"Not Female",NA,"Throughout the day","Very Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"No trust at all"
"Algeria","ArabBarometer",157,"2020","August",4,"Not Female",NA,"Throughout the day","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"No trust at all"
"Algeria","ArabBarometer",158,"2020","August",0.969870188788705,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",161,"2020","August",0.382008115733521,"Not Female",NA,"Several times a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",162,"2020","August",0.268284479365789,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",163,"2020","August",0.533961642078319,"Not Female",NA,"Once a week","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",164,"2020","August",0.0672667359095071,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",165,"2020","August",0.369517894873427,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",167,"2020","August",0.260386741066822,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",168,"2020","August",0.0296043074627269,"Not Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",170,"2020","August",0.619812056261329,"Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",172,"2020","August",0.515335292077159,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",173,"2020","August",0.382008115733521,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",174,"2020","August",0.0672667359095071,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",181,"2020","August",0.951339493192624,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",182,"2020","August",0.0296043074627269,"Not Female",NA,"Throughout the day","Good",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"A great deal of trust"
"Algeria","ArabBarometer",184,"2020","August",0.480744236107042,"Not Female",NA,"I do not use the Internet","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",188,"2020","August",0.0672667359095071,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",189,"2020","August",1.53270496019537,"Not Female",NA,"Throughout the day","Bad",NA,NA,NA,"Not a lot of trust"
"Algeria","ArabBarometer",190,"2020","August",0.969870188788705,"Not Female",NA,"Several times a week","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",191,"2020","August",0.515335292077159,"Not Female",NA,"Throughout the day","Very Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",194,"2020","August",1.25595668920609,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",197,"2020","August",1.85781365513901,"Not Female",NA,"At least once daily","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Not a lot of trust"
"Algeria","ArabBarometer",199,"2020","August",0.291843053397584,"Not Female",NA,"At least once daily","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",200,"2020","August",0.472957826583942,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",201,"2020","August",0.264361376598117,"Female",NA,"Throughout the day","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",208,"2020","August",0.234435238530132,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",210,"2020","August",0.270961876976673,"Not Female",NA,"I do not use the Internet","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"A great deal of trust"
"Algeria","ArabBarometer",211,"2020","August",0.192395581538354,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",212,"2020","August",0.423279118337237,"Not Female",NA,"Throughout the day","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",213,"2020","August",0.969870188788705,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",214,"2020","August",0.261188341521296,"Not Female",NA,"At least once daily",NA,NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",216,"2020","August",0.0751615844933064,"Not Female",NA,"Throughout the day","Good",NA,"Democracy is always preferable to any other kind of government",NA,"A great deal of trust"
"Algeria","ArabBarometer",217,"2020","August",1.06571596052429,"Female",NA,"Throughout the day","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",219,"2020","August",2.65626947361224,"Not Female",NA,"At least once daily","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"No trust at all"
"Algeria","ArabBarometer",221,"2020","August",0.291843053397584,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",222,"2020","August",4,"Not Female",NA,"I do not use the Internet","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",224,"2020","August",0.261188341521296,"Not Female",NA,"At least once daily","Good",NA,NA,NA,"Not a lot of trust"
"Algeria","ArabBarometer",233,"2020","August",0.969870188788705,"Not Female",NA,"Once a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",235,"2020","August",1.35457170015536,"Not Female",NA,"At least once daily","Bad",NA,"For people like me, it doesn't matter what kind of government we have",NA,"Not a lot of trust"
"Algeria","ArabBarometer",237,"2020","August",0.316927423148293,"Not Female",NA,"At least once daily","Very Bad",NA,"Democracy is always preferable to any other kind of government",NA,"No trust at all"
"Algeria","ArabBarometer",238,"2020","August",1.9962167846489,"Female",NA,"Throughout the day","Good",NA,"For people like me, it doesn't matter what kind of government we have",NA,"A great deal of trust"
"Algeria","ArabBarometer",241,"2020","August",1.53270496019537,"Not Female",NA,"At least once daily","Bad",NA,"Under some circumstances, a non-democratic government can be preferable",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",243,"2020","August",0.630601858705763,"Not Female",NA,"At least once daily","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",244,"2020","August",2.047084673278,"Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",245,"2020","August",0.234435238530132,"Not Female",NA,"Throughout the day","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",248,"2020","August",0.268284479365789,"Not Female",NA,"At least once daily","Bad",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
"Algeria","ArabBarometer",249,"2020","August",0.374084986906579,"Not Female",NA,"Several times a week","Bad",NA,NA,NA,"No trust at all"
"Algeria","ArabBarometer",250,"2020","August",0.175377604959895,"Not Female",NA,"I do not use the Internet","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Quite a lot of trust"
"Algeria","ArabBarometer",251,"2020","August",0.374084986906579,"Not Female",NA,"Less than once a week","Good",NA,"Democracy is always preferable to any other kind of government",NA,"Not a lot of trust"
